19:06:07  DEBUG i.g.b.wdm.cache.ResolutionCache - Resolution chrome=96 in cache (valid until 19:47:25 25/11/2021 MSK)
19:06:07  DEBUG i.g.b.wdm.cache.ResolutionCache - Resolution chrome96=96.0.4664.45 in cache (valid until 01:22:48 26/11/2021 MSK)
19:06:07  INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 96.0.4664.45 (resolved driver for Chrome 96)
19:06:07  DEBUG i.g.bonigarcia.wdm.WebDriverManager - Driver chromedriver 96.0.4664.45 found in cache
19:06:07  INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\julia\.cache\selenium\chromedriver\win32\96.0.4664.45\chromedriver.exe
19:06:09  INFO  manger.ApplicationManager - Test starts
19:06:40  INFO  test.TestBase - Start test---testBoardCreation3
19:06:40  INFO  manger.MyListener - Start search element by locator--By.cssSelector: [data-test-id='header-create-menu-button']
19:06:40  INFO  manger.MyListener - Element with locator--By.cssSelector: [data-test-id='header-create-menu-button']wsa found
19:06:40  INFO  manger.MyListener - Start search element by locator--By.cssSelector: [aria-label='BoardIcon']
19:06:40  INFO  manger.MyListener - Element with locator--By.cssSelector: [aria-label='BoardIcon']wsa found
19:06:40  INFO  manger.MyListener - Start search element by locator--By.cssSelector: [data-test-id='create-board-title-input']
19:06:40  INFO  manger.MyListener - Element with locator--By.cssSelector: [data-test-id='create-board-title-input']wsa found
19:06:40  INFO  manger.MyListener - Start search element by locator--By.cssSelector: [data-test-id='create-board-title-input']
19:06:40  INFO  manger.MyListener - Element with locator--By.cssSelector: [data-test-id='create-board-title-input']wsa found
19:06:40  INFO  manger.MyListener - Start search element by locator--By.cssSelector: [data-test-id='create-board-title-input']
19:06:40  INFO  manger.MyListener - Element with locator--By.cssSelector: [data-test-id='create-board-title-input']wsa found
19:06:40  INFO  manger.MyListener - Start search element by locator--By.cssSelector: [data-test-id='header-create-menu-popover'
19:06:40  INFO  manger.MyListener - Element with locator--By.cssSelector: [data-test-id='header-create-menu-popover'wsa found
19:06:45  INFO  manger.MyListener - Start search element by locator--By.cssSelector: [data-test-id='create-board-submit-button']
19:06:46  INFO  manger.MyListener - Element with locator--By.cssSelector: [data-test-id='create-board-submit-button']wsa found
19:06:46  INFO  manger.MyListener - Start search element by locator--By.cssSelector: .list-name-input
19:06:47  INFO  manger.MyListener - Element with locator--By.cssSelector: .list-name-inputwsa found
19:06:48  INFO  manger.MyListener - Start search element by locator--By.cssSelector: .list-name-input
19:06:48  INFO  manger.MyListener - Element with locator--By.cssSelector: .list-name-inputwsa found
19:06:48  INFO  manger.MyListener - Start search element by locator--By.cssSelector: ._9Bfh6AVH84yAZe
19:06:48  INFO  manger.MyListener - Element with locator--By.cssSelector: ._9Bfh6AVH84yAZewsa found
19:06:48  INFO  test.TestBase - ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
19:06:48  INFO  manger.ApplicationManager - Tests are finished
